processor_type_enc,log_ram,ram,processor_speed,total_storage,ppi,ssd_storage,Weight,total_pixels,ram_to_ssd_ratio,TypeName_Notebook,display_type_ord,Price
66,0.1358546346905845,-0.0880857914628133,1.0011863527668192,1.14598082683604,-0.45885668539856783,-0.277730506657103,0.9538499074982628,-0.07590310418276833,0.0625,0,2,63499.104
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,0.8802105067502711,-0.13836300176483904,-1.0714514890391216,0.21746697309727678,-0.07590310418276833,0.0,1,2,35112.0528
21,-1.161502921102972,-0.8701617828076473,-1.4116772867778529,-1.1795094739144387,-0.813936018345289,-1.0714514890391216,-0.548371278679749,-0.8118684579155703,0.0,1,1,18594.72
52,0.1358546346905845,-0.0880857914628133,-2.2159651666260776,-0.9801817338501119,2.012864385503285,-0.277730506657103,-1.4025754825848926,1.1930026781151661,0.0625,0,2,67932.0
62,0.9474935343712165,0.6939901998820207,0.800114382804764,4.069454347779499,-0.13836300176483904,2.103432440488952,0.3058329252253945,-0.07590310418276833,0.0234,0,2,58554.72
38,-1.161502921102972,-0.8701617828076473,0.19689847291859522,-0.8722125413152683,0.4242302270598365,0.04471864243559194,-0.9018350871922224,-0.07590310418276833,0.0222,1,2,39160.8
19,-1.161502921102972,-0.8701617828076473,-1.4116772867778529,-0.20778674110084575,-1.0767869531240308,-1.0714514890391216,0.07019038621707945,-0.8118684579155703,0.0,1,1,16943.04
38,-1.161502921102972,-0.8701617828076473,0.19689847291859522,-0.20778674110084575,-0.006937534375467756,-1.0714514890391216,0.04073506884103999,-0.07590310418276833,0.0,0,2,27119.52
62,1.5396034455647016,1.4760661912268547,0.800114382804764,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-1.5940350455291492,-0.07590310418276833,0.0625,0,2,87858.72
58,1.5396034455647016,1.4760661912268547,0.5990424128427077,1.4117511469218091,3.1172994535648395,0.5159904757249154,1.7049605005872683,4.392852042170826,0.0625,0,4,70809.12
74,-1.161502921102972,-0.8701617828076473,-1.0095333468537409,-0.20778674110084575,-1.0767869531240308,-1.0714514890391216,-0.07708620066311789,-0.8118684579155703,0.0,1,1,18594.72
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,-0.7144114137643429,2.972039726450273,0.5159904757249154,-1.122749967512518,2.572248093656399,0.0312,0,3,78694.56
51,0.1358546346905845,-0.0880857914628133,-2.2159651666260776,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-1.3731201652088532,-0.07590310418276833,0.0312,0,2,52693.92
46,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,2.972039726450273,0.5159904757249154,-1.122749967512518,2.572248093656399,0.0312,0,3,86526.72
46,-1.161502921102972,-0.8701617828076473,0.3979704428806515,-0.20778674110084575,-1.0767869531240308,-1.0714514890391216,-0.01817556591103895,-0.8118684579155703,0.0,1,1,39533.76
53,-1.161502921102972,-0.8701617828076473,-1.4116772867778529,-0.20778674110084575,-0.813936018345289,-1.0714514890391216,-0.6220095721198478,-0.8118684579155703,0.0,1,1,38468.16
36,-1.161502921102972,-0.8701617828076473,-0.6073894069296288,-0.9801817338501119,-0.13836300176483904,-0.277730506657103,-0.29800108098341355,-0.07590310418276833,0.0312,1,2,21498.48
57,0.9474935343712165,0.6939901998820207,0.5990424128427077,-0.7144114137643429,1.4433540268160112,0.5159904757249154,-0.9607457219443013,1.0826630448718675,0.0469,0,3,98994.24
67,1.5396034455647016,1.4760661912268547,1.2022583227288755,-0.7144114137643429,-0.45885668539856783,0.5159904757249154,2.2793391894200377,-0.07590310418276833,0.0625,0,2,159786.72
55,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,-0.13836300176483904,0.5159904757249154,-0.31272873967143333,-0.07590310418276833,0.0312,0,2,69103.6272
46,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-1.122749967512518,-0.07590310418276833,0.0312,0,2,79866.72
59,3.0036206069861486,4.6043701566061905,0.800114382804764,-0.1828707735928049,-0.45885668539856783,2.103432440488952,2.573892363180432,-0.07590310418276833,0.0625,0,2,149130.72
36,-1.161502921102972,-0.8701617828076473,-0.6073894069296288,-0.20778674110084575,-0.13836300176483904,-1.0714514890391216,0.07019038621707945,-0.07590310418276833,0.0,1,2,18594.72
64,1.5396034455647016,1.4760661912268547,1.0011863527668192,-0.7144114137643429,-0.13836300176483904,0.5159904757249154,-0.18017981147925602,-0.07590310418276833,0.0625,1,2,81912.1392
5,-1.161502921102972,-0.8701617828076473,-0.20524546700551638,-0.20778674110084575,-0.9476671956888596,-1.0714514890391216,1.1011264943784596,-0.5310540913113753,0.0,1,1,20193.12
40,0.1358546346905845,-0.0880857914628133,1.2022583227288755,-0.1828707735928049,1.839936138938323,2.103432440488952,-1.00492869800836,1.376902066853997,0.0156,0,3,104370.192
46,-1.161502921102972,-0.8701617828076473,0.3979704428806515,-0.20778674110084575,0.2351620108154786,-1.0714514890391216,-0.2685457636073741,-0.07590310418276833,0.0,1,2,41824.8
