Company,TypeName,Inches,Weight,screen_resolution,display_type,processor_speed,processor_brand,processor_type,ssd_storage,hdd_storage,flash_storage,ram,os,Price,res_width,res_height,total_pixels,total_storage,price_per_kg,ppi,is_gaming,is_premium_brand,is_ultrabook,ram_to_ssd_ratio,log_Price,log_ram
HP,2 in 1 Convertible,11.6,1.4,1366x768,HD,1.1,Intel, Celeron Dual Core N3350,0,0,64,8,chrome,26373.6,1366.0,768.0,1049088.0,64,18838.285714285714,135.1,0,0,0,0.0,10.180156704786587,2.1972245773362196
LG,Ultrabook,15.6,1.09,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,8,windows,122490.72,1920.0,1080.0,2073600.0,512,112376.80733944953,141.2,0,0,1,0.0156,11.715798714845754,2.1972245773362196
Acer,Gaming,15.6,2.5,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,256,0,0,16,windows,69210.72,1920.0,1080.0,2073600.0,256,27684.288,141.2,1,0,0,0.0625,11.14492549142712,2.833213344056216
MSI,Gaming,15.6,2.2,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,256,0,0,8,windows,53168.112,1920.0,1080.0,2073600.0,256,24167.323636363635,141.2,1,1,0,0.0312,10.881232905211656,2.1972245773362196
Asus,Notebook,15.6,1.86,1366x768,HD,1.1,Intel, Celeron Dual Core N3350,128,0,0,4,windows,22324.32,1366.0,768.0,1049088.0,128,12002.322580645161,100.5,0,0,0,0.0312,10.01347673934858,1.6094379124341003
Dell,Gaming,15.6,3.21,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,128,1024,0,16,windows,109277.28,1920.0,1080.0,2073600.0,1152,34042.766355140186,141.2,1,0,0,0.125,11.601652935295686,2.833213344056216
HP,Notebook,17.3,2.5,1920x1080,Full HD,2.0,Intel, Core i3 6006U,256,0,0,4,windows,37242.72,1920.0,1080.0,2073600.0,256,14897.088,127.3,0,0,0,0.0156,10.525238618990686,1.6094379124341003
Lenovo,2 in 1 Convertible,13.3,1.19,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,8,windows,79866.72,1920.0,1080.0,2073600.0,512,67114.89075630253,165.6,0,0,0,0.0156,11.288127045116099,2.1972245773362196
Dell,Gaming,15.6,3.49,1920x1080,Full HD,2.9,Intel, Core i7 7820HK,256,1024,0,16,windows,149916.6,1920.0,1080.0,2073600.0,1280,42956.04584527221,141.2,1,0,0,0.0625,11.917841088806224,2.833213344056216
HP,Notebook,15.6,1.86,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,32639.8608,1366.0,768.0,1049088.0,500,17548.312258064514,100.5,0,0,0,0.0,10.393320181279313,1.6094379124341003
Dell,Notebook,15.6,2.2,1366x768,HD,2.0,Intel, Core i3 6006U,0,1024,0,4,windows,29073.2976,1366.0,768.0,1049088.0,1024,13215.135272727273,100.5,0,0,0,0.0,10.27760981888353,1.6094379124341003
HP,Notebook,17.3,2.65,1920x1080,Full HD,2.4,AMD, A10-Series 9600P,0,2048,0,6,windows,30316.32,1920.0,1080.0,2073600.0,2048,11440.120754716982,127.3,0,0,0,0.0,10.319474445348318,1.9459101490553132
Lenovo,Notebook,15.6,2.1,1366x768,HD,1.6,Intel, Celeron Dual Core 3855U,0,500,0,4,windows,16943.04,1366.0,768.0,1049088.0,500,8068.114285714286,100.5,0,0,0,0.0,9.737671428556059,1.6094379124341003
Acer,Notebook,14.0,1.45,1366x768,HD,1.6,Intel, Celeron Dual Core 3855U,0,0,32,4,chrome,19980.0,1366.0,768.0,1049088.0,32,13779.310344827587,111.9,0,0,0,0.0,9.902537101000133,1.6094379124341003
Lenovo,Notebook,14.0,1.7,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,4,windows,37242.72,1920.0,1080.0,2073600.0,256,21907.482352941177,157.4,0,0,0,0.0156,10.525238618990686,1.6094379124341003
HP,Workstation,17.3,3.14,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,500,0,8,windows,101657.7072,1920.0,1080.0,2073600.0,500,32375.065987261147,127.3,0,0,0,0.0,11.529376474020564,2.1972245773362196
Lenovo,2 in 1 Convertible,14.0,1.42,2560x1440,Quad HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,137995.2,2560.0,1440.0,3686400.0,256,97179.71830985916,209.8,0,0,0,0.0312,11.834981427528328,2.1972245773362196
Toshiba,Notebook,13.3,1.5,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,51841.44,1920.0,1080.0,2073600.0,256,34560.96,165.6,0,0,0,0.0312,10.855964397819733,2.1972245773362196
Acer,Notebook,11.6,1.4,1366x768,HD,1.6,Intel, Celeron Dual Core N3050,0,0,32,4,windows,14332.32,1366.0,768.0,1049088.0,32,10237.371428571429,135.1,0,0,0,0.0,9.570342175774599,1.6094379124341003
